Name,ISO3,Index Year,Womens Economic Freedom,Investment Freedom,Property Rights,Trade Freedom,Economic Freedom,Elections,Civil Liberties,Political Rights,Legislative Constraints on the Executive,Political Freedom,Bureaucracy,Corruption,Security,Clarity of the Law,Judicial Independence and Effectiveness,Legal Freedom,Freedom score,Freedom rank,Income,Health,Inequality,Environment,Minority Rights,Education,Productivity,Crime,Prosperity score,Prosperity rank
Botswana,BWA,2022,47.2222222222222,68.4210526315789,60.651289009498,73.2570239334027,62.3878969491755,81.7228705358954,89.180146771435,90.5252317198764,72.020725388601,83.362243603952,57.5099503174738,59.4587165748739,84.2012925830955,66.9862811624132,86.8728685594985,71.005821839471,72.2519874641995,,63.6228126393447,72.3348369366553,29.2056074766355,77.0049243634203,84.1700756167101,44.4210269852071,35.2502356169294,87.7966101694916,61.7257662255493,
Brazil,BRA,2022,87.5,63.1578947368421,47.8968792401628,64.2039542143601,65.6896820478412,91.2517169379784,55.1977786256299,76.8280123583934,81.9689119170984,76.311604959775,40.8097233566055,32.8788943790604,54.5723179820355,46.1720017701726,71.8280442479584,49.2521963471665,63.7511611182609,75,61.9645560915161,84.0764629860024,39.4859813084112,91.6187964324897,69.2946572455684,44.4140166742816,28.05427607601,73.8418079096046,61.5938193404855,
Brunei Darussalam,BRN,2022,40.2777777777778,68.4210526315789,45.7259158751696,68.7825182101977,55.801816123681,,,,,,80.083523750829,72.2852440887797,88.0535878752096,,,80.1407852382728,67.9713006809769,62,87.6044770085182,83.9159511690824,,98.5239437466716,61.980909879757,44.8686827981728,,100.056497175141,79.4917436295572,
Bulgaria,BGR,2022,100,63.1578947368421,58.7516960651289,82.3100936524454,76.0549211136041,88.0236364469776,88.8940268602192,86.1997940267765,85.181347150259,87.0747011210581,47.3947580204533,38.411979667067,73.6707148558621,48.7682549048532,69.0559734814209,55.4603361859313,72.8633194735311,48,70.4705320916429,79.4539411660005,59.5794392523364,44.0211753756213,75.4927482335441,55.7533170568315,41.8731324284669,99.3785310734463,65.7528520847362,
Burkina Faso,BFA,2022,66.6666666666667,68.4210526315789,33.1071913161465,59.2091571279917,56.851016935596,89.3832247717466,78.3511381763518,86.5087538619979,77.2020725388601,82.8612973372391,35.3539736364563,42.4419814842588,31.212785812263,77.0467620593008,57.3195632406339,48.6750132465826,62.7957758398059,79,28.1760920144727,57.7543914275947,43.2242990654206,57.3750298145433,76.2365191521012,6.10592027994594,23.2505156985894,94.2372881355932,48.2950069485326,
Burundi,BDI,2022,72.2222222222222,52.6315789473684,33.3785617367707,31.1134235171696,47.3364466058827,55.8296276977725,22.9886378274638,13.491246138002,16.4766839378238,27.1965489002655,22.9521047540283,7.67221400580874,36.7758617930642,26.2723115503761,23.6807637391452,23.4706511684845,32.6678822248776,160,7.76777776850367,57.6330743566668,63.5514018691589,68.2490195595551,74.501053675468,11.1745171126913,8.82457858266015,99.3785310734463,48.8849942497688,
Cambodia,KHM,2022,70.8333333333333,52.6315789473684,28.0868385345997,72.216441207076,55.9420480055944,57.7032361942907,40.1959394605514,18.6405767250257,7.66839378238342,31.0520365405628,41.5819305754964,16.9006389731531,61.7172718676085,20.0914589172444,10.8332581799901,30.2249117026985,39.0729987496186,146,39.7622661256905,72.8219716368428,69.6261682242991,63.2053276695487,73.1374736581133,20.0125308866411,,97.683615819209,62.3213362886206,
Cameroon,CMR,2022,48.6111111111111,31.5789473684211,15.3324287652646,52.7575442247659,37.0700078673907,68.9691944314044,51.8013593943223,56.9515962924819,13.9896373056994,47.927946855977,32.2988234166704,18.8259278678359,35.9147463515237,43.9297831538574,27.8780930940822,31.7694747767939,38.9224765000539,147,37.2097085495949,53.3589806270523,44.8598130841121,73.7857714749912,84.1700756167101,27.9571712511594,24.032149680311,97.7401129943503,55.3892229097852,
Canada,CAN,2022,100,84.2105263157895,86.7028493894165,80.6451612903226,87.8896342488821,96.1683634518632,95.338828821856,97.0133882595262,77.5129533678756,91.5083834752803,83.1402984374071,81.4190443069245,83.3615497114026,80.51335005163,90.5476969395174,83.7963878893763,87.7314685378462,15,83.3556838346001,94.6493026203123,75.9345794392523,97.4890462683546,87.492252386265,80.071560650168,48.6476287169841,99.1525423728814,83.3490745361022,
Cape Verde,CPV,2022,76.3888888888889,84.2105263157895,66.6214382632293,74.6097814776275,75.4576587363838,92.0067481523981,92.3705832444708,90.6282183316168,89.5336787564766,91.1348071212406,51.1254085766224,67.4626511902947,82.6641631193148,57.4125977282785,78.8017559511091,67.4933153131239,78.0285937235828,35,47.0775161529683,78.6302597095766,54.6728971962617,74.7467057507847,91.8557084417999,27.3529039658832,,87.1751412429379,65.9301617800303,
Central African Republic,CAF,2022,61.1111111111111,47.3684210526316,18.9959294436906,52.3413111342352,44.9541931854171,71.0932712891088,50.805409726404,67.6622039134912,34.0932642487046,55.9135372944272,16.5297428990999,15.7721410320696,21.7819239517381,24.8119191621183,39.3648005489154,23.6521055187883,41.5066119995442,142,12.3078896486944,42.2594018453852,22.4299065420561,47.4451029969116,82.905665055163,11.635014812454,9.81773146112608,97.1186440677966,40.7399195536984,
Chad,TCD,2022,56.9444444444444,63.1578947368421,14.3826322930801,51.3007284079084,46.4464249705688,55.3457031898296,32.5827175435737,35.015447991761,15.1295336787565,34.5183506009802,21.0463081822522,10.0269050648025,37.3516854075502,30.3142056350494,9.50784481052452,21.6493898200358,34.2047217971949,157,20.3040444280133,43.8010618544077,66.1214953271028,53.64630743435,73.4225858435602,6.58623250745264,,95.7627118644068,51.3777770370419,
